caldt,vwretd
20000331,0.098492
20000428,-0.031585
20000531,-0.022304
20000630,0.026219
20000731,-0.012795
20000831,0.062594
20000929,-0.052088
20001031,-0.004120
20001130,-0.078268
20001229,0.005720
20010131,0.032375
20010228,-0.090952
20010330,-0.063706
20010430,0.077825
20010531,0.006870
20010629,-0.024506
20010731,-0.009317
20010831,-0.063435
20010928,-0.080361
20011031,0.019542
20011130,0.078787
20011231,0.009051
20020131,-0.014324
20020228,-0.019481
20020328,0.037572
20020430,-0.061001
20020531,-0.007800
20020628,-0.071349
20020731,-0.073987
20020830,0.007061
20020930,-0.108965
20021031,0.088599
20021129,0.059019
20021231,-0.058834
20030131,-0.026579
20030228,-0.015246
20030331,0.010308
20030430,0.082774
20030530,0.053251
20030630,0.012816
20030731,0.017932
20030829,0.019597
20030930,-0.010737
20031031,0.055560
20031128,0.009259
20031231,0.051780
20040130,0.019078
20040227,0.014403
20040331,-0.014982
20040430,-0.015584
20040528,0.013629
20040630,0.019488
20040730,-0.032954
20040831,0.003807
20040930,0.010817
20041029,0.014973
20041130,0.040559
20041231,0.033734
20050131,-0.023824
20050228,0.021152
20050331,-0.017240
20050429,-0.018926
20050531,0.031994
20050630,0.001717
20050729,0.037364
20050831,-0.009159
20050930,0.008067
20051031,-0.015673
20051130,0.038289
20051230,-0.000060
20060131,0.026426
20060228,0.002425
20060331,0.012909
20060428,0.012064
20060531,-0.028319
20060630,0.001587
20060731,0.005571
20060831,0.024150
20060929,0.026487
20061031,0.032528
20061130,0.018385
20061229,0.013768
20070131,0.015318
20070228,-0.019288
20070330,0.010894
20070430,0.043991
20070531,0.034459
20070629,-0.016620
20070731,-0.031197
20070831,0.015094
20070928,0.037468
20071031,0.017360
20071130,-0.041382
20071231,-0.006116
20080131,-0.061166
20080229,-0.031419
20080331,-0.003400
20080430,0.048629
20080530,0.012986
20080630,-0.082819
20080731,-0.007306
20080829,0.014955
20080930,-0.085467
20081031,-0.166981
20081128,-0.073512
20081231,0.011995
20090130,-0.082615
20090227,-0.103584
20090331,0.087634
20090430,0.094230
20090529,0.054640
20090630,0.002476
20090731,0.074482
20090831,0.034751
20090930,0.036534
20091030,-0.018259
20091130,0.060257
20091231,0.018983
20100129,-0.035751
20100226,0.030426
20100331,0.061014
20100430,0.015977
20100528,-0.080111
20100630,-0.053525
20100730,0.070451
20100831,-0.045434
20100930,0.090383
20101029,0.038726
20101130,-0.000051
20101231,0.067054
20110131,0.023349
20110228,0.032508
20110331,0.000625
20110429,0.029441
20110531,-0.011313
20110630,-0.016545
20110729,-0.019828
20110831,-0.054322
20110930,-0.070238
20111031,0.109023
20111130,-0.002727
20111230,0.009427
20120131,0.045206
20120229,0.043340
20120330,0.032866
20120430,-0.006034
20120531,-0.059790
20120629,0.041465
20120731,0.014363
20120831,0.022744
20120928,0.025120
20121031,-0.017837
20121130,0.005326
20121231,0.008508
20130131,0.052361
20130228,0.013013
20130328,0.037584
20130430,0.019621
20130531,0.023120
20130628,-0.013601
20130731,0.050672
20130830,-0.029207
20130930,0.031660
20131031,0.046268
20131129,0.030817
20131231,0.025950
20140131,-0.034666
20140228,0.045757
20140331,0.008056
20140430,0.006555
20140530,0.023309
20140630,0.020635
20140731,-0.013974
20140829,0.039777
20140930,-0.013928
20141031,0.023972
20141128,0.027631
20141231,-0.002473
20150130,-0.029430
